Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/asymmetric_2.0.tree	0	0.0	0.0
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s001.align.1.tree	14	205.449970774	715.55005
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s002.align.1.tree	24	205.475675124	716.65157
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s003.align.1.tree	24	205.542329107	716.08018
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s004.align.1.tree	20	205.328484595	715.65866
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s005.align.1.tree	18	205.529448313	716.21035
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s006.align.1.tree	24	205.531234005	716.67347
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s007.align.1.tree	14	205.396201719	715.29294
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s008.align.1.tree	16	205.283785075	715.62142
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s009.align.1.tree	24	205.425637835	716.69888
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s010.align.1.tree	18	205.48530477	716.30348
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s011.align.1.tree	20	205.5471835	716.28517
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s012.align.1.tree	26	205.342337286	716.2136
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s013.align.1.tree	22	205.495954711	716.09146
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s014.align.1.tree	26	205.51569845	717.30622
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s015.align.1.tree	24	205.374623443	716.06662
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s016.align.1.tree	26	205.547659716	716.93448
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s017.align.1.tree	18	205.531704015	716.40499
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s018.align.1.tree	20	205.446114607	716.32589
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s019.align.1.tree	22	205.505225154	716.2646
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s020.align.1.tree	18	205.344654429	715.91022
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s021.align.1.tree	26	205.242920865	715.58891
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s022.align.1.tree	26	205.4165924	716.17685
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s023.align.1.tree	26	205.312174269	716.16634
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s024.align.1.tree	14	205.417891682	715.8579
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s025.align.1.tree	24	205.356078171	715.79433
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s026.align.1.tree	18	205.363824073	715.49267
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s027.align.1.tree	20	205.490785547	716.1986
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s028.align.1.tree	22	205.532350784	716.06593
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s029.align.1.tree	20	205.15880796	715.9792
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s030.align.1.tree	18	205.432510078	716.1597
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s031.align.1.tree	22	205.461404984	715.96075
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s032.align.1.tree	16	205.379935536	715.27146
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s033.align.1.tree	18	205.438270958	715.62609
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s034.align.1.tree	20	205.391646841	716.2764
inputs/asymmetric_2.0/asymmetric_2.0.tree	inputs/asymmetric_2.0/s035.align.1.tree	12	205.446566799	715.65507
