Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s001.align.1.tree	12	239.503515734	925.20858
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s002.align.1.tree	20	239.406110245	925.06838
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s003.align.1.tree	22	239.341916112	925.00482
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s004.align.1.tree	18	239.442160353	925.02932
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s005.align.1.tree	24	239.393384773	925.16123
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s006.align.1.tree	18	239.407204055	925.089
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s007.align.1.tree	18	239.351304713	924.74771
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s008.align.1.tree	22	239.443274783	925.21255
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s009.align.1.tree	22	239.452311808	925.21654
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s010.align.1.tree	22	239.409136783	925.23147
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s011.align.1.tree	16	239.423076738	924.91844
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s012.align.1.tree	22	239.427526688	925.29794
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s013.align.1.tree	20	239.460889266	925.30987
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s014.align.1.tree	20	239.402124596	925.02528
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s015.align.1.tree	22	239.347661284	925.00825
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s016.align.1.tree	10	239.392954278	924.9757
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s017.align.1.tree	24	239.33911092	925.30934
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s018.align.1.tree	16	239.390062777	924.85456
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s019.align.1.tree	22	239.452008073	925.40087
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s020.align.1.tree	18	239.471540151	925.34732
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s021.align.1.tree	22	239.483940789	925.57946
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s022.align.1.tree	12	239.335826442	924.53627
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s023.align.1.tree	18	239.45373947	925.2696
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s024.align.1.tree	16	239.437486012	925.0062
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s025.align.1.tree	20	239.456977009	925.33465
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s026.align.1.tree	16	239.403829547	925.07065
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s027.align.1.tree	18	239.489103675	925.37119
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s028.align.1.tree	12	239.407627211	924.86044
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s029.align.1.tree	20	239.396118881	924.99544
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s030.align.1.tree	18	239.360645303	924.85849
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s031.align.1.tree	6	239.401910929	924.58445
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s032.align.1.tree	20	239.409442729	925.01399
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s033.align.1.tree	18	239.502286576	925.1948
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s034.align.1.tree	18	239.439137273	925.14225
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s035.align.1.tree	16	239.345403583	924.77243
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s036.align.1.tree	22	239.386996761	925.21239
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s037.align.1.tree	16	239.473882871	925.28346
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s038.align.1.tree	18	239.438886324	925.24061
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s039.align.1.tree	8	239.418525732	924.76248
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s040.align.1.tree	18	239.493476468	925.42931
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s041.align.1.tree	16	239.423632709	924.86125
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s042.align.1.tree	18	239.455099653	925.15392
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s043.align.1.tree	12	239.497808472	925.29482
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s044.align.1.tree	22	239.420479654	925.19067
inputs/symmetric_0.5/symmetric_0.5.tree	outputs/symmetric_0.5/s045.align.1.tree	4	239.397017546	924.42047
