Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s001.align.1.tree	18	205.665826635	716.17635
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s002.align.1.tree	22	205.812365055	717.29527
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s003.align.1.tree	18	205.816433153	716.75296
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s004.align.1.tree	24	205.700048827	717.46433
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s005.align.1.tree	22	205.909091961	717.27987
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s006.align.1.tree	24	205.806863714	717.48646
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s007.align.1.tree	22	205.702276326	716.86145
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s008.align.1.tree	12	205.653817351	716.31948
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s009.align.1.tree	26	205.79910787	717.84505
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s010.align.1.tree	16	205.706143204	717.02278
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s011.align.1.tree	10	205.730577248	716.45952
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s012.align.1.tree	24	205.65068662	716.67161
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s013.align.1.tree	24	205.851437686	717.35516
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s014.align.1.tree	26	205.695193552	717.17547
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s015.align.1.tree	26	205.674514912	717.19288
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s016.align.1.tree	22	205.858079847	717.62846
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s017.align.1.tree	20	205.763349289	717.0679
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s018.align.1.tree	16	205.757184892	716.64023
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s019.align.1.tree	20	205.717610352	716.71694
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s020.align.1.tree	22	205.632906597	716.91176
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s021.align.1.tree	26	205.652700041	716.69554
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s022.align.1.tree	26	205.736742929	717.17893
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s023.align.1.tree	26	205.710198452	716.93352
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s024.align.1.tree	24	205.640851665	717.19229
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s025.align.1.tree	24	205.714360298	716.92569
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s026.align.1.tree	20	205.618414025	716.22749
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s027.align.1.tree	24	205.762710567	717.12961
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s028.align.1.tree	22	205.817910218	717.05185
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s029.align.1.tree	16	205.503157396	716.42943
inputs/asymmetric_2.0/asymmetric_2.0.tree	outputs/asymmetric_2.0/s030.align.1.tree	24	205.683140381	717.13775
