Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s052.align.1.tree	22	239.25762298	924.94585
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s053.align.1.tree	16	239.279770376	924.48108
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s054.align.1.tree	20	239.279521897	924.88222
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s055.align.1.tree	26	239.329655024	925.27482
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s056.align.1.tree	22	239.328547122	924.88403
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s057.align.1.tree	20	239.179369298	924.44307
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s058.align.1.tree	20	239.1898854	924.31598
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s059.align.1.tree	20	239.218221925	924.25234
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s060.align.1.tree	26	239.162652415	924.67164
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s061.align.1.tree	22	239.138030479	924.44525
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s062.align.1.tree	12	239.292669689	924.0772
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s063.align.1.tree	22	239.299426418	925.0181
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s064.align.1.tree	14	239.167250408	924.07726
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s065.align.1.tree	20	239.356519056	925.05215
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s066.align.1.tree	22	239.275208957	924.83757
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s067.align.1.tree	26	239.187139037	924.59576
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s068.align.1.tree	22	239.186270143	924.33746
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s069.align.1.tree	24	239.295484784	924.95188
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s070.align.1.tree	22	239.277664736	924.75058
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s071.align.1.tree	26	239.269256931	924.9171
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s072.align.1.tree	20	239.315868694	924.84985
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s073.align.1.tree	22	239.302844502	925.39163
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s074.align.1.tree	24	239.078657976	924.20836
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s075.align.1.tree	22	239.286817425	924.68751
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s076.align.1.tree	14	239.164419072	924.04031
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s077.align.1.tree	22	239.222761827	924.37373
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s078.align.1.tree	18	239.262834597	924.63302
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s079.align.1.tree	18	239.268782758	924.71853
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s080.align.1.tree	24	239.469467067	925.67212
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s081.align.1.tree	26	239.400933585	925.26805
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s082.align.1.tree	22	239.307403751	924.99839
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s083.align.1.tree	22	239.332224696	925.30584
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s084.align.1.tree	20	239.377767525	925.05181
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s085.align.1.tree	24	239.343045654	925.39281
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s086.align.1.tree	20	239.289790514	924.75525
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s087.align.1.tree	22	239.232924555	924.81517
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s088.align.1.tree	18	239.308178169	924.61553
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s089.align.1.tree	16	239.160607998	924.1755
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s090.align.1.tree	24	239.274000267	924.99567
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s091.align.1.tree	20	239.201771838	924.71236
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s092.align.1.tree	24	239.358597992	925.24608
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s093.align.1.tree	22	239.347998254	925.05686
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s094.align.1.tree	24	239.354448329	925.25552
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s095.align.1.tree	20	239.348295252	925.08583
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s096.align.1.tree	22	239.330763611	925.35469
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s097.align.1.tree	24	239.260648993	924.99108
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s098.align.1.tree	24	239.223003055	924.80197
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s099.align.1.tree	26	239.340545261	925.40608
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s100.align.1.tree	20	239.262872416	924.8882
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s101.align.1.tree	10	239.323535223	924.59608
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s102.align.1.tree	18	239.348510649	924.9348
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s103.align.1.tree	22	239.250542692	924.94867
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s104.align.1.tree	18	239.334995065	924.79317
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s105.align.1.tree	22	239.333239289	925.03746
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s106.align.1.tree	20	239.141438614	924.19395
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s107.align.1.tree	20	239.412575552	925.19447
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s108.align.1.tree	24	239.308685615	925.40302
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s109.align.1.tree	22	239.257448463	924.73113
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s110.align.1.tree	18	239.366929447	924.6506
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s111.align.1.tree	22	239.328866035	924.9885
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s112.align.1.tree	20	239.16312027	924.421
inputs/symmetric_2.0/symmetric_2.0.tree	outputs/symmetric_2.0/s113.align.1.tree	16	239.22038583	924.28744
