Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/asymmetric_0.5.tree	0	0.0	0.0
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s001.align.1.tree	24	205.900739857	717.5319
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s002.align.1.tree	20	205.818516628	717.09736
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s003.align.1.tree	18	205.821344674	716.96604
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s004.align.1.tree	20	205.895712893	717.32422
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s005.align.1.tree	16	205.894926597	717.12795
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s006.align.1.tree	24	205.872090396	717.26746
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s007.align.1.tree	20	205.911975449	717.29436
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s008.align.1.tree	26	205.85091653	717.36122
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s009.align.1.tree	16	205.904407748	717.38821
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s010.align.1.tree	16	205.909949117	717.12068
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s011.align.1.tree	24	205.877590459	717.67308
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s012.align.1.tree	18	205.826808737	717.3404
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s013.align.1.tree	26	205.874948774	717.47017
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s014.align.1.tree	16	205.783485603	717.00307
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s015.align.1.tree	10	205.903723556	716.87251
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s016.align.1.tree	26	205.920464236	717.47803
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s017.align.1.tree	20	205.821626996	716.97992
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s018.align.1.tree	10	206.003628512	717.28167
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s019.align.1.tree	22	205.921410774	717.33658
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s020.align.1.tree	20	205.869026673	717.29755
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s021.align.1.tree	24	205.890283696	717.5113
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s022.align.1.tree	20	205.932152018	717.42528
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s023.align.1.tree	16	205.858993669	717.12769
inputs/asymmetric_0.5/asymmetric_0.5.tree	inputs/asymmetric_0.5/s024.align.1.tree	6	205.921539581	716.95959
