Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s050.align.1.tree	26	205.875486856	717.28818
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s051.align.1.tree	26	205.852669723	717.57024
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s052.align.1.tree	22	205.823152713	717.40311
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s053.align.1.tree	14	205.83055906	716.74595
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s054.align.1.tree	22	205.814098862	717.22515
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s055.align.1.tree	18	205.86631674	717.20425
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s056.align.1.tree	18	205.944644935	717.2143
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s057.align.1.tree	12	205.783817373	716.67123
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s058.align.1.tree	26	205.798285164	717.21185
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s059.align.1.tree	20	205.813785815	717.16657
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s060.align.1.tree	26	205.771586138	717.38757
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s061.align.1.tree	18	205.88057843	717.03765
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s062.align.1.tree	16	205.87708576	717.00661
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s063.align.1.tree	24	205.908909222	717.31997
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s064.align.1.tree	20	205.842080924	717.08889
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s065.align.1.tree	26	205.915800696	717.65991
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s066.align.1.tree	20	205.818067997	717.3423
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s067.align.1.tree	22	205.780976291	717.26602
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s068.align.1.tree	26	205.962879425	717.47957
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s069.align.1.tree	20	205.814977646	716.8711
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s070.align.1.tree	14	205.925620712	717.15064
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s071.align.1.tree	26	205.919525466	717.70506
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s072.align.1.tree	10	205.915780526	717.05993
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s073.align.1.tree	26	205.936909351	717.62488
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s074.align.1.tree	24	205.925293231	717.66242
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s075.align.1.tree	26	205.804507063	717.408
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s076.align.1.tree	18	205.885796095	716.96635
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s077.align.1.tree	24	205.879169592	717.483
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s078.align.1.tree	16	205.845282236	716.95888
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s079.align.1.tree	18	205.777340994	716.80043
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s080.align.1.tree	20	205.912530747	717.23053
inputs/asymmetric_1.0/asymmetric_1.0.tree	outputs/asymmetric_1.0/s081.align.1.tree	18	205.851788513	717.0491
