Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s001.align.1.tree	12	239.468554081	925.05581
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s002.align.1.tree	20	239.312292038	924.78451
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s003.align.1.tree	16	239.30046395	924.68232
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s004.align.1.tree	14	239.383450646	924.64645
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s005.align.1.tree	18	239.3056267	924.75075
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s006.align.1.tree	16	239.307603564	924.86035
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s007.align.1.tree	18	239.332088817	924.57996
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s008.align.1.tree	22	239.438339884	925.34044
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s009.align.1.tree	18	239.393230253	924.8749
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s010.align.1.tree	18	239.263230513	924.78558
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s011.align.1.tree	10	239.370041627	924.39327
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s012.align.1.tree	20	239.32607302	924.93048
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s013.align.1.tree	22	239.391222407	925.13605
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s014.align.1.tree	20	239.308236239	924.68277
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s015.align.1.tree	24	239.321864782	925.08094
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s016.align.1.tree	12	239.270758595	924.43961
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s017.align.1.tree	24	239.268130057	925.15601
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s018.align.1.tree	18	239.310048706	924.5945
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s019.align.1.tree	22	239.397721911	925.43874
inputs/symmetric_0.5/symmetric_0.5.tree	inputs/symmetric_0.5/s020.align.1.tree	20	239.443101444	925.33152
