Reference tree	Other tree	Symmetric difference	Euclidean distance	Robinson-Foulds distance
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s052.align.1.tree	20	239.355415306	924.98677
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s053.align.1.tree	24	239.222750934	925.03668
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s054.align.1.tree	24	239.303947696	925.00827
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s055.align.1.tree	22	239.270476544	924.72208
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s056.align.1.tree	22	239.338155887	925.21884
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s057.align.1.tree	18	239.236910456	924.57093
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s058.align.1.tree	18	239.366850909	924.9852
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s059.align.1.tree	16	239.428194702	925.01524
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s060.align.1.tree	12	239.434772363	924.72923
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s061.align.1.tree	16	239.300143495	924.42563
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s062.align.1.tree	8	239.389457512	924.42181
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s063.align.1.tree	22	239.331573881	924.97053
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s064.align.1.tree	20	239.263170852	924.71612
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s065.align.1.tree	16	239.446831033	925.23038
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s066.align.1.tree	16	239.375647138	924.89606
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s067.align.1.tree	16	239.393766426	924.77832
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s068.align.1.tree	22	239.344688576	925.03597
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s069.align.1.tree	24	239.391556208	925.23793
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s070.align.1.tree	22	239.241612459	924.79957
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s071.align.1.tree	18	239.302778415	924.86687
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s072.align.1.tree	14	239.390387792	924.75451
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s073.align.1.tree	18	239.184228937	924.25716
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s074.align.1.tree	24	239.325154634	925.1086
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s075.align.1.tree	18	239.434034904	925.3942
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s076.align.1.tree	16	239.295333348	924.81777
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s077.align.1.tree	22	239.37723549	925.1656
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s078.align.1.tree	22	239.131712028	924.30745
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s079.align.1.tree	24	239.36222723	924.95018
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s080.align.1.tree	20	239.270497545	924.97372
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s081.align.1.tree	18	239.301551465	924.69121
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s082.align.1.tree	22	239.415374846	925.26107
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s083.align.1.tree	22	239.232802185	924.8626
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s084.align.1.tree	16	239.227354961	924.27704
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s085.align.1.tree	16	239.379803084	924.81489
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s086.align.1.tree	16	239.294651037	924.44641
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s087.align.1.tree	24	239.245527963	924.68182
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s088.align.1.tree	20	239.318526292	924.97655
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s089.align.1.tree	16	239.288120443	924.54191
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s090.align.1.tree	20	239.302252836	924.8954
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s091.align.1.tree	20	239.21066969	924.40316
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s092.align.1.tree	22	239.36616255	925.05556
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s093.align.1.tree	22	239.315278171	924.83824
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s094.align.1.tree	16	239.363109708	925.14169
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s095.align.1.tree	4	239.348025282	924.53159
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s096.align.1.tree	20	239.377677557	925.00508
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s097.align.1.tree	20	239.262520062	924.65324
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s098.align.1.tree	24	239.293272718	925.18407
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s099.align.1.tree	18	239.308646425	924.83589
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s100.align.1.tree	26	239.389454601	925.5895
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s101.align.1.tree	22	239.438036869	925.51397
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s102.align.1.tree	22	239.388129571	925.09045
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s103.align.1.tree	14	239.294551621	924.58929
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s104.align.1.tree	22	239.368821608	925.11521
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s105.align.1.tree	20	239.364126826	925.23684
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s106.align.1.tree	16	239.368623549	925.0209
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s107.align.1.tree	24	239.373817854	925.5414
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s108.align.1.tree	14	239.303558149	924.46713
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s109.align.1.tree	18	239.392611034	925.21724
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s110.align.1.tree	18	239.39025483	925.09003
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s111.align.1.tree	20	239.327040765	924.99868
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s112.align.1.tree	20	239.38213349	925.17636
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s113.align.1.tree	18	239.32103706	924.88647
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s114.align.1.tree	20	239.355857931	924.9794
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s115.align.1.tree	18	239.244298132	924.56946
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s116.align.1.tree	22	239.281451157	924.73087
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s117.align.1.tree	16	239.395163314	925.08916
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s118.align.1.tree	16	239.43029625	924.97172
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s119.align.1.tree	22	239.336961502	924.84637
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s120.align.1.tree	16	239.374932012	924.98095
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s121.align.1.tree	14	239.286986239	924.5167
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s122.align.1.tree	10	239.374270921	924.57643
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s123.align.1.tree	22	239.326006367	924.78982
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s124.align.1.tree	22	239.401519608	925.02354
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s125.align.1.tree	18	239.349282669	924.92525
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s126.align.1.tree	22	239.41865725	925.47954
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s127.align.1.tree	22	239.421022943	925.13455
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s128.align.1.tree	24	239.362370908	925.13924
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s129.align.1.tree	18	239.355842636	925.03393
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s130.align.1.tree	16	239.40355013	924.72101
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s131.align.1.tree	20	239.38100593	924.82052
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s132.align.1.tree	14	239.39488971	924.69213
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s133.align.1.tree	20	239.377990817	925.09221
inputs/symmetric_1.0/symmetric_1.0.tree	outputs/symmetric_1.0/s134.align.1.tree	20	239.316880873	924.85855
